Id,Airline,Confirmed,CreationDate,Date,Destination,FlightNumber,Scheduled,Type
1084,Icelandair,16:58,2021-07-24,2021-06-26,Washington Dulles,FI645,16:50,Departure
1085,Wizz Air,16:55,2021-07-24,2021-06-26,London Luton,W94498,16:55,Departure
1086,Icelandair,17:07,2021-07-24,2021-06-26,New York JFK,FI615,17:00,Departure
1087,Icelandair,17:04,2021-07-24,2021-06-26,Seattle,FI681,17:05,Departure
1088,Vueling,16:58,2021-07-24,2021-06-26,Barcelona,VY8561,17:10,Departure
1089,Icelandair,17:14,2021-07-24,2021-06-26,Boston,FI631,17:15,Departure
1090,Wizz Air,19:36,2021-07-24,2021-06-26,Gdansk,W61774,19:30,Departure
1091,Wizz Air,20:41,2021-07-24,2021-06-26,Mílanó,W65566,20:20,Departure
1092,Wizz Air,20:58,2021-07-24,2021-06-26,Búdapest,W62428,20:40,Departure
1093,Wizz Air,02:23,2021-07-24,2021-06-25,Varsjá,W61540,00:05,Departure
1094,Lufthansa,01:07,2021-07-24,2021-06-25,Munchen,LH2469,01:05,Departure
1095,Icelandair,07:31,2021-07-24,2021-06-25,París CDG,FI542,07:40,Departure
1096,Icelandair,07:31,2021-07-24,2021-06-25,London Heathrow,FI450,07:40,Departure
1097,Icelandair,07:40,2021-07-24,2021-06-25,Amsterdam,FI500,07:40,Departure
1098,Icelandair,07:45,2021-07-24,2021-06-25,Kaupmannahöfn,FI204,07:45,Departure
1099,Transavia,08:43,2021-07-24,2021-06-25,Amsterdam,HV6888,08:50,Departure
1100,EasyJet,09:19,2021-07-24,2021-06-25,London Gatwick,EZY8508,09:30,Departure
1101,Delta,09:25,2021-07-24,2021-06-25,Minneapolis St Paul,DL261,09:30,Departure
1102,Delta,10:42,2021-07-24,2021-06-25,Boston,DL267,10:15,Departure
1103,SAS,10:32,2021-07-24,2021-06-25,Kaupmannahöfn,SK596,10:30,Departure
1104,Delta,11:01,2021-07-24,2021-06-25,New York JFK,DL247,11:15,Departure
1105,United Airlines,11:55,2021-07-24,2021-06-25,New York Newark,UA967,11:20,Departure
1106,Atlantic Airways,11:58,2021-07-24,2021-06-25,Vagar,RC402,12:00,Departure
1107,Air Baltic,15:08,2021-07-24,2021-06-25,Riga,BT170,15:10,Departure
1108,Icelandair,16:09,2021-07-24,2021-06-25,Kaupmannahöfn,FI216,16:10,Departure
1109,Icelandair,16:43,2021-07-24,2021-06-25,Billund,FI274,16:40,Departure
1110,Icelandair,16:46,2021-07-24,2021-06-25,Chicago,FI853,16:45,Departure
1111,Icelandair,16:39,2021-07-24,2021-06-25,Washington Dulles,FI645,16:50,Departure
1112,Icelandair,16:46,2021-07-24,2021-06-25,Denver,FI671,16:55,Departure
1113,Icelandair,16:54,2021-07-24,2021-06-25,New York JFK,FI615,17:00,Departure
1114,Icelandair,17:08,2021-07-24,2021-06-25,Seattle,FI681,17:05,Departure
1115,Icelandair,17:20,2021-07-24,2021-06-25,Boston,FI631,17:15,Departure
1116,Wizz Air,20:09,2021-07-24,2021-06-25,Katowice,W61168,20:00,Departure
1117,Lufthansa,02:03,2021-07-24,2021-06-24,Frankfurt,LH869,00:25,Departure
1118,Icelandair,07:21,2021-07-24,2021-06-24,Frankfurt,FI520,07:25,Departure
1119,Delta,Áætluð brottför 08:00,2021-07-24,2021-06-24,New York JFK,DL9907,07:30,Departure
1120,Icelandair,07:28,2021-07-24,2021-06-24,Stokkhólmur,FI306,07:35,Departure
1121,Icelandair,07:30,2021-07-24,2021-06-24,Brussel,FI554,07:40,Departure
1122,Icelandair,07:39,2021-07-24,2021-06-24,Amsterdam,FI500,07:40,Departure
1123,Icelandair,07:39,2021-07-24,2021-06-24,London Heathrow,FI450,07:40,Departure
1124,Icelandair,07:39,2021-07-24,2021-06-24,París CDG,FI542,07:40,Departure
1125,Icelandair,07:53,2021-07-24,2021-06-24,Berlin Brandenburg,FI528,07:40,Departure
1126,Icelandair,07:43,2021-07-24,2021-06-24,Kaupmannahöfn,FI204,07:45,Departure
1127,Icelandair,07:53,2021-07-24,2021-06-24,Osló,FI318,07:50,Departure
1128,Neos,09:00,2021-07-24,2021-06-24,Malaga,NO4902,08:20,Departure
1129,EasyJet,08:53,2021-07-24,2021-06-24,London Luton,EZY2296,08:45,Departure
1130,Icelandair,08:59,2021-07-24,2021-06-24,Alicante,FI1582,08:50,Departure
1131,Icelandair,09:19,2021-07-24,2021-06-24,Boston,FI635,09:20,Departure
1132,Delta,Áætluð brottför 09:25,2021-07-24,2021-06-24,Minneapolis St Paul,DL261,09:30,Departure
1133,EasyJet,10:00,2021-07-24,2021-06-24,Manchester,EZY1808,10:00,Departure
1134,Delta,10:12,2021-07-24,2021-06-24,Boston,DL267,10:15,Departure
1135,British Airways,11:02,2021-07-24,2021-06-24,London Heathrow,BA801,10:40,Departure
1136,Play,11:10,2021-07-24,2021-06-24,London Stansted,OG802,11:00,Departure
1137,Delta,11:10,2021-07-24,2021-06-24,New York JFK,DL247,11:15,Departure
1138,United Airlines,11:37,2021-07-24,2021-06-24,New York Newark,UA967,11:20,Departure
1139,Lufthansa,13:27,2021-07-24,2021-06-24,Frankfurt,LH857,13:35,Departure
1140,Eurowings,14:14,2021-07-24,2021-06-24,Hamborg,EW7809,14:20,Departure
1141,EasyJet,15:04,2021-07-24,2021-06-24,Edinborg,EZY6942,15:05,Departure
1142,Icelandair,16:04,2021-07-24,2021-06-24,Kaupmannahöfn,FI216,16:10,Departure
1143,Icelandair,16:43,2021-07-24,2021-06-24,Minneapolis St Paul,FI657,16:45,Departure
1144,Icelandair,16:39,2021-07-24,2021-06-24,Washington Dulles,FI645,16:50,Departure
1145,Icelandair,16:48,2021-07-24,2021-06-24,Denver,FI671,16:55,Departure
1146,Icelandair,16:59,2021-07-24,2021-06-24,New York Newark,FI623,17:00,Departure
1147,Icelandair,16:48,2021-07-24,2021-06-24,New York JFK,FI615,17:00,Departure
1148,Icelandair,16:59,2021-07-24,2021-06-24,Seattle,FI681,17:05,Departure
1149,Icelandair,17:11,2021-07-24,2021-06-24,Boston,FI631,17:15,Departure
1150,Wizz Air,18:23,2021-07-24,2021-06-24,Gdansk,W61774,18:30,Departure
1151,Wizz Air,00:06,2021-07-24,2021-06-23,Varsjá,W61540,00:10,Departure
1152,Icelandair,07:18,2021-07-24,2021-06-23,Zurich,FI568,07:20,Departure
1153,Icelandair,07:28,2021-07-24,2021-06-23,Frankfurt,FI520,07:25,Departure
1154,Icelandair,07:38,2021-07-24,2021-06-23,Stokkhólmur,FI306,07:35,Departure
