,CreationDate,Date,Type,Scheduled,Destination,FlightNumber,Airline,Confirmed
9436,2021-09-05,2022-03-14,Departure,12:20,London Gatwick,EZY8504,EasyJet,Á áætlun
9437,2021-09-05,2022-03-14,Departure,12:25,London Heathrow,BA895,British Airways,Á áætlun
9438,2021-09-05,2022-03-14,Departure,12:45,Osló,SK4788,SAS,Á áætlun
9439,2021-09-05,2022-03-14,Departure,14:00,Kaupmannahöfn,FI212,Icelandair,Á áætlun
9440,2021-09-05,2022-03-14,Departure,15:30,Berlin Brandenburg,OG704,Play,Á áætlun
9441,2021-09-05,2022-03-14,Departure,15:30,París CDG,OG404,Play,Á áætlun
9442,2021-09-05,2022-03-14,Departure,16:10,Kaupmannahöfn,FI216,Icelandair,Á áætlun
9443,2021-09-05,2022-03-14,Departure,16:20,London Heathrow,FI454,Icelandair,Á áætlun
9444,2021-09-05,2022-03-14,Departure,16:45,Riga,BT170,Air Baltic,Á áætlun
9445,2021-09-05,2022-03-14,Departure,16:45,Minneapolis St Paul,FI657,Icelandair,Á áætlun
9446,2021-09-05,2022-03-14,Departure,16:45,Chicago,FI853,Icelandair,Á áætlun
9447,2021-09-05,2022-03-14,Departure,16:50,Washington Dulles,FI645,Icelandair,Á áætlun
9448,2021-09-05,2022-03-14,Departure,16:55,Denver,FI671,Icelandair,Á áætlun
9449,2021-09-05,2022-03-14,Departure,17:00,New York JFK,FI615,Icelandair,Á áætlun
9450,2021-09-05,2022-03-14,Departure,17:00,New York Newark,FI623,Icelandair,Á áætlun
9451,2021-09-05,2022-03-14,Departure,17:05,Toronto,FI603,Icelandair,Á áætlun
9452,2021-09-05,2022-03-14,Departure,17:05,Seattle,FI681,Icelandair,Á áætlun
9453,2021-09-05,2022-03-14,Departure,17:15,Boston,FI631,Icelandair,Á áætlun
9454,2021-09-05,2022-03-14,Departure,17:15,Orlando,FI689,Icelandair,Á áætlun
9455,2021-09-05,2022-03-14,Departure,18:05,London Luton,EZY2298,EasyJet,Á áætlun
9456,2021-09-05,2022-03-14,Departure,18:50,Kraká,W65054,Wizz Air,Á áætlun
9457,2021-09-05,2022-03-14,Departure,19:00,London Gatwick,EZY8506,EasyJet,Á áætlun
9458,2021-09-05,2022-03-14,Departure,19:55,Manchester,EZY1806,EasyJet,Á áætlun
9459,2021-09-05,2022-03-14,Departure,19:55,Amsterdam,HV6888,Transavia,Á áætlun
9460,2021-09-05,2022-03-14,Departure,20:25,Vilnius,W68090,Wizz Air,Á áætlun
9461,2021-09-05,2022-03-14,Departure,22:05,Gdansk,W61774,Wizz Air,Á áætlun
9462,2021-09-05,2022-03-15,Departure,01:10,Varsjá,W61540,Wizz Air,Á áætlun
9463,2021-09-05,2022-03-15,Departure,07:20,Munchen,FI532,Icelandair,Á áætlun
9464,2021-09-05,2022-03-15,Departure,07:20,Zurich,FI568,Icelandair,Á áætlun
9465,2021-09-05,2022-03-15,Departure,07:25,Frankfurt,FI520,Icelandair,Á áætlun
9466,2021-09-05,2022-03-15,Departure,07:30,Helsinki,FI342,Icelandair,Á áætlun
9467,2021-09-05,2022-03-15,Departure,07:35,París CDG,FI542,Icelandair,Á áætlun
9468,2021-09-05,2022-03-15,Departure,07:35,Glasgow,FI430,Icelandair,Á áætlun
9469,2021-09-05,2022-03-15,Departure,07:35,Stokkhólmur,FI306,Icelandair,Á áætlun
9470,2021-09-05,2022-03-15,Departure,07:40,Hamborg,FI510,Icelandair,Á áætlun
9471,2021-09-05,2022-03-15,Departure,07:40,London Heathrow,FI450,Icelandair,Á áætlun
9472,2021-09-05,2022-03-15,Departure,07:40,Amsterdam,FI500,Icelandair,Á áætlun
9473,2021-09-05,2022-03-15,Departure,07:40,Brussel,FI554,Icelandair,Á áætlun
9474,2021-09-05,2022-03-15,Departure,07:40,Berlin Brandenburg,FI528,Icelandair,Á áætlun
9475,2021-09-05,2022-03-15,Departure,07:45,Kaupmannahöfn,FI204,Icelandair,Á áætlun
9476,2021-09-05,2022-03-15,Departure,07:45,Dublin,FI416,Icelandair,Á áætlun
9477,2021-09-05,2022-03-15,Departure,07:45,London Gatwick,FI470,Icelandair,Á áætlun
9478,2021-09-05,2022-03-15,Departure,07:50,Osló,FI318,Icelandair,Á áætlun
9479,2021-09-05,2022-03-15,Departure,08:00,Manchester,FI440,Icelandair,Á áætlun
9480,2021-09-05,2022-03-15,Departure,08:00,Kaupmannahöfn,FI206,Icelandair,Á áætlun
9481,2021-09-05,2022-03-15,Departure,08:20,Tenerife South,FI580,Icelandair,Á áætlun
9482,2021-09-05,2022-03-15,Departure,08:20,Las Palmas,NO2912,Neos,Á áætlun
9483,2021-09-05,2022-03-15,Departure,08:20,Las Palmas,FI1512,Icelandair,Á áætlun
9484,2021-09-05,2022-03-15,Departure,09:00,Tenerife South,OG620,Play,Á áætlun
9485,2021-09-05,2022-03-15,Departure,10:40,Manchester,EZY1806,EasyJet,Á áætlun
9486,2021-09-05,2022-03-15,Departure,11:25,Vín,W62858,Wizz Air,Á áætlun
9487,2021-09-05,2022-03-15,Departure,11:40,London Luton,EZY2296,EasyJet,Á áætlun
9488,2021-09-05,2022-03-15,Departure,11:40,Rome Fiumicino,W68266,Wizz Air,Á áætlun
9489,2021-09-05,2022-03-15,Departure,11:50,London Luton,W94498,Wizz Air,Á áætlun
9490,2021-09-05,2022-03-15,Departure,12:25,London Heathrow,BA895,British Airways,Á áætlun
9491,2021-09-05,2022-03-15,Departure,12:40,Kaupmannahöfn,SK596,SAS,Á áætlun
9492,2021-09-05,2022-03-15,Departure,12:45,Osló,SK4788,SAS,Á áætlun
9493,2021-09-05,2022-03-15,Departure,14:00,Kaupmannahöfn,FI212,Icelandair,Á áætlun
9494,2021-09-05,2022-03-15,Departure,14:55,Frankfurt,LH857,Lufthansa,Á áætlun
9495,2021-09-05,2022-03-15,Departure,15:55,Edinborg,EZY6942,EasyJet,Á áætlun
9496,2021-09-05,2022-03-15,Departure,16:10,Kaupmannahöfn,FI216,Icelandair,Á áætlun
9497,2021-09-05,2022-03-15,Departure,16:20,London Heathrow,FI454,Icelandair,Á áætlun
9498,2021-09-05,2022-03-15,Departure,16:45,Minneapolis St Paul,FI657,Icelandair,Á áætlun
9499,2021-09-05,2022-03-15,Departure,16:45,Chicago,FI853,Icelandair,Á áætlun
9500,2021-09-05,2022-03-15,Departure,16:50,Washington Dulles,FI645,Icelandair,Á áætlun
